Email Text,Label
"Hello, please submit your assignment by Friday. Let me know if you have any questions.",0
"Reminder: Our meeting is scheduled for tomorrow at 3 PM. Please review the documents beforehand.",0
"Your subscription has been successfully renewed. No further action is required.",0
"Hi, we have updated our privacy policy. You can review it anytime on our website.",0
"Your order has been shipped and will arrive within 3-5 business days.",0
"Please find attached the notes from today's lecture. Let me know if anything is unclear.",0
"We have received your application and will get back to you shortly.",0
"URGENT: Your account has been compromised. Verify your identity immediately at http://fake-secure-login.com",1
"You have been selected for an exclusive reward. Click here to claim now: http://reward-claim.xyz",1
"Dear user, your account will be suspended unless you update your billing information now.",1
"Congratulations! You have won a cash prize. Verify your details to receive your reward.",1
"We detected unusual activity in your account. Please login immediately to secure it: http://account-check.net",1
"My name is Steve Stephan from NVIDIA. Please share your resume and details to proceed further.",1
"My name is Kent Button from Broadcom. You have been shortlisted globally. Send your resume and information.",1
"My name is Moulin Lalaji from JPMorgan Chase. Please share your experience and resume for opportunities.",1
"You have 1 new quarantined inbound email. View in Email Gateway Defense. This is a system notification.",0
"Reminder: Your class has been rescheduled to Monday at 10 AM. Please check the portal for updates.",0
"Your password was successfully changed. If this was not you, contact support immediately.",0
"We are conducting maintenance tonight. Services may be temporarily unavailable.",0
"Hi, please review the attached document and share your feedback.",0
